文書ID,タイトル,文書種別,作成日,作成者,所属部署,タグ,関連セグメント,重要度,ステータス,概要
DOC-001,FY2026 環境エネルギー本部 中期経営計画,事業計画,2026-04-01,本部長 山本浩二,経営企画部,"['中計', '再エネ', '成長戦略']",全セグメント,最重要,承認済,"FY2026〜FY2028の3年間で再エネ設備容量を現行3,900MWから5,000MW超へ拡大する成長計画。洋上風力・蓄電池を重点投資領域に設定し、EBITDA倍増（2,400億円→4,800億円）を目指す。海外比率を現行40%から55%に引き上げ、Elawanブランドのグローバル展開を加速。GX推進法の補助金活用とPPA営業の体制強化を柱とする。"
DOC-002,FY2026 年度予算書（詳細版）,事業計画,2026-03-25,財務部 鈴木陽子,財務部,"['予算', 'P/L', 'セグメント別']",全セグメント,最重要,承認済,"FY2026の売上高目標15,200億円（前年比+7.8%）、営業利益2,850億円（同+11.2%）。セグメント別配分：メガソーラー23.5%、風力海外28.0%、電力小売20.5%、その他28.0%。設備投資予算3,200億円（洋上風力1,200億円、蓄電所800億円、メガソーラー600億円、その他600億円）。"
DOC-003,洋上風力事業参入戦略（改訂版）,事業計画,2026-03-15,新規事業開発部 高橋健一,新規事業開発部,"['洋上風力', '入札', '秋田', 'GX']",風力発電（国内）,高,承認済,国内洋上風力の入札ラウンド2・3への参画戦略。秋田県沖200MW案件を最優先とし、北九州響灘（220MW）と並行推進。地元漁協・自治体との合意形成スケジュール、環境アセスの進捗、系統接続の確保計画を整理。Elawanの欧州洋上風力ノウハウ移転による技術差別化を図る。投資回収期間12年、IRR8.5%を想定。
DOC-004,Elawan海外事業5カ年拡大計画,事業計画,2026-02-20,海外事業部 マルティネス・カルロス,海外事業部,"['Elawan', '海外', 'チリ', 'ブラジル', 'ポルトガル']",風力発電（海外/Elawan）,高,承認済,"Elawanの欧州・中南米ポートフォリオを2028年までに1,500MW→2,800MWに拡大。チリ風力第3期（150MW）、ブラジル風力（200MW）、ポルトガル太陽光（60MW）を主要パイプラインとし、順次FID（最終投資決定）を進める。為替ヘッジ戦略、カントリーリスク管理フレームワークを併せて整備。"
DOC-005,蓄電池事業ビジネスモデル検討書,事業計画,2026-01-30,新規事業開発部 中村裕子,新規事業開発部,"['蓄電池', '系統安定化', '収益モデル']",蓄電所,高,検討中,蓄電池の価格下落（2023年対比-35%）を背景に、系統用蓄電所の新規ビジネスモデルを策定。①需給調整市場への参画、②再エネ出力制御回避（太陽光との併設）、③ピークシフト・アービトラージの3モデルを比較検証。短期的には東京湾岸40MW、北海道石狩50MWの2拠点を先行投資し、収益性を検証のうえスケール判断する。
DOC-006,月次経営報告書（2025年4月）,月次報告,2025-05-12,経営企画部 木下哲也,経営企画部,"['月次', 'FY2024', '4月']",全セグメント,中,確定,"FY2024初月。売上高1,320億円（予算比101%）。メガソーラー稼働率14.2%と好調。Elawanスペイン太陽光が本格稼働し海外比率41%に上昇。SFAパイプライン新規5件追加（合計1,200億円）。課題：バイオマス燃料価格が前期比+5%。"
DOC-007,月次経営報告書（2025年5月）,月次報告,2025-06-10,経営企画部 木下哲也,経営企画部,"['月次', 'FY2024', '5月']",全セグメント,中,確定,"売上高1,410億円（予算比103%）。太陽光発電が季節的に伸長、メガソーラー+屋根借りで構成比30%超。風力（国内）は点検期間により一時的に稼働率低下。省エネESCO新規受注が2件（横浜・大阪）。蓄電所の需給調整市場テスト運用開始。"
DOC-008,月次経営報告書（2025年6月）,月次報告,2025-07-10,経営企画部 木下哲也,経営企画部,"['月次', 'FY2024', '6月', '上期']",全セグメント,中,確定,"Q1締め。売上高4,250億円（予算比102%）、営業利益680億円（予算比105%）。上期通過率51.2%でオンペース。太陽光セグメントが好調をけん引。バイオマス燃料価格は安定化の兆し。人員計画：洋上風力技術者3名採用決定。"
DOC-009,月次経営報告書（2025年7月）,月次報告,2025-08-11,経営企画部 木下哲也,経営企画部,"['月次', 'FY2024', '7月']",全セグメント,中,確定,"売上高1,520億円（予算比104%）。夏季の太陽光発電がピーク、メガソーラー稼働率16.2%で過去最高。電力小売は猛暑で需要増、売上+12%。蓄電所アービトラージ収益が想定を20%上回る。Elawanチリ風力Phase3のDDを開始。"
DOC-010,月次経営報告書（2025年8月）,月次報告,2025-09-10,経営企画部 木下哲也,経営企画部,"['月次', 'FY2024', '8月']",全セグメント,中,確定,"売上高1,480億円（予算比102%）。引き続き太陽光好調だが8月後半の台風により一部サイト点検停止。風力は夏季低風期で計画比やや下振れ。地熱は安定稼働（82%）。SFA大型案件「秋田県沖洋上風力」が提案から交渉フェーズに進展。"
DOC-011,月次経営報告書（2025年9月）,月次報告,2025-10-10,経営企画部 木下哲也,経営企画部,"['月次', 'FY2024', '9月', '上期']",全セグメント,高,確定,"上期（H1）締め。売上高8,680億円（予算比103%）、営業利益1,390億円（予算比107%）。上期として過去最高益。太陽光＋電力小売が想定以上に寄与。SFA受注5件（合計2,100億円）。H2の課題：冬季の風力本格化に向けた設備メンテナンス計画の前倒し。"
DOC-012,月次経営報告書（2025年10月）,月次報告,2025-11-10,経営企画部 木下哲也,経営企画部,"['月次', 'FY2024', '10月']",全セグメント,中,確定,"売上高1,350億円（予算比100%）。端境期で全体的に横ばい。風力が秋の風量増で回復傾向。バイオマスの新燃料調達先（ベトナム産PKS）との長期契約締結。Elawanブラジル案件のFID承認。蓄電所2号機（北海道石狩）の着工準備完了。"
DOC-013,月次経営報告書（2025年11月）,月次報告,2025-12-10,経営企画部 木下哲也,経営企画部,"['月次', 'FY2024', '11月']",全セグメント,中,確定,"売上高1,380億円（予算比101%）。風力（国内）が冬季モードに入り稼働率22.8%に改善。電力小売は暖房需要で前月比+8%。省エネESCOのストック収入が安定。人材：洋上風力チームが10名体制に。SFA新規リード8件。"
DOC-014,月次経営報告書（2025年12月）,月次報告,2026-01-13,経営企画部 木下哲也,経営企画部,"['月次', 'FY2024', '12月', 'Q3']",全セグメント,中,確定,"Q3締め。売上累計12,100億円（予算比102%）、営業利益1,980億円。通期着地見込みを上方修正（売上15,400億円→15,650億円）。風力が冬季好調で計画超過。蓄電所の需給調整市場収益が月間2.5億円ペースに安定。"
DOC-015,月次経営報告書（2026年1月）,月次報告,2026-02-10,経営企画部 木下哲也,経営企画部,"['月次', 'FY2024', '1月']",全セグメント,中,確定,"売上高1,370億円（予算比102%）。冬季ピークで風力国内が稼働率25.3%（年間最高）。電力小売は寒波需要で過去最高売上。太陽光は冬季低調（稼働率10.2%）。Elawanチリ風力Phase3のFID承認取得。"
DOC-016,月次経営報告書（2026年2月）,月次報告,2026-03-10,経営企画部 木下哲也,経営企画部,"['月次', 'FY2024', '2月']",全セグメント,中,確定,"売上高1,360億円（予算比101%）。風力引き続き好調。バイオマスは計画的メンテナンス実施で一時停止あったが影響は限定的。来期予算編成が本格化。FY2025のCapEx計画：洋上風力1,500億円、蓄電池1,000億円を軸に総額3,800億円。"
DOC-017,月次経営報告書（2026年3月 / FY2024通期速報）,月次報告,2026-04-08,経営企画部 木下哲也,経営企画部,"['月次', 'FY2024', '3月', '通期', '速報']",全セグメント,最重要,速報,"FY2024通期速報。売上高15,720億円（予算比103%、前年比+7.2%）、営業利益2,560億円（予算比109%、前年比+12.8%）。全セグメントで予算達成。特に蓄電所が予算比132%と大幅超過。SFA通期受注18件・総額8,500億円。FY2025は中計2年目として売上16,500億円、営利2,900億円を目指す。"
DOC-018,第1回 環境エネルギー本部 経営会議議事録,議事録,2026-04-10,経営企画部 佐々木恵,経営企画部,"['経営会議', 'FY2026', 'Q1']",全セグメント,高,確定,FY2026初回経営会議。FY2024通期実績の報告と分析。FY2026重点施策の確認：①洋上風力2案件のFID（秋田・北九州）②蓄電池事業のスケール判断③海外比率55%への道筋。本部長より「攻めの投資とリスク管理の両立」が指示。次回6月に中間レビュー。
DOC-019,洋上風力プロジェクト推進委員会 第8回議事録,議事録,2026-03-28,新規事業開発部 松田浩介,新規事業開発部,"['洋上風力', '秋田', '北九州', '環境アセス']",風力発電（国内）,高,確定,秋田県沖：環境アセス方法書の縦覧が完了。地元漁協との第4回協議で基本合意に近づく。技術パートナーとしてElawanの欧州チーム3名がジョイン。北九州響灘：系統接続の仮押さえ完了（220MW枠）。建設工法はジャケット式に決定。両案件とも2026年度内のFIDを目指す。
DOC-020,取締役会 環境エネルギー報告 議事要旨,議事録,2026-03-15,秘書室 田中麻衣,秘書室,"['取締役会', 'ガバナンス', '投資決裁']",全セグメント,最重要,確定,"取締役への本部業績報告。FY2024の好業績が評価される一方、洋上風力の大型投資（2案件合計3,000億円超）に対するリスク管理体制の強化が求められる。社外取締役より「再エネ比率のみでなくROIC向上にも注力すべき」との指摘。蓄電池事業への追加投資800億円が条件付き承認。"
DOC-021,ESG委員会 第12回議事録,議事録,2026-03-05,サステナビリティ推進部 河野美保,サステナビリティ推進部,"['ESG', 'CO2', 'TCFD', 'ダイバーシティ']",全セグメント,高,確定,FY2024のCO2削減実績：420万トン（目標400万トンを5%超過達成）。TCFD対応の気候変動シナリオ分析（1.5℃/4℃）の更新報告。女性管理職比率18%→20%目標の進捗確認。RE100宣言企業への電力供給実績：72社。カーボンクレジット市場への試験参入結果報告（年間3億円の追加収益見込み）。
DOC-022,リスク管理委員会 第6回議事録,議事録,2026-02-25,リスク管理部 岡田直樹,リスク管理部,"['リスク', '為替', 'カントリーリスク', '自然災害']",全セグメント,高,確定,四半期リスクレビュー。主要リスク評価：①為替（EUR/JPY、USD/CLP）→ヘッジ比率80%維持②自然災害（台風シーズン対策）→保険カバレッジ見直し完了③カントリーリスク（チリ政情）→モニタリング強化④系統制約リスク→蓄電池併設で対応。新規リスク：サイバーセキュリティ（SCADA系への攻撃事例増加）を追加。
DOC-023,人材戦略会議 議事録,議事録,2026-02-15,人事部 小林亮太,人事部,"['人材', '採用', '育成', '洋上風力']",全セグメント,中,確定,洋上風力技術者の採用難が深刻化。既採用10名に加え、FY2026で+15名の確保が必要（市場では約200名の需要に対し供給50名程度）。Elawanからの出向プログラム（年間5名）を新設。デジタル人材（AI/データ分析）の社内育成プログラム開始。全社の再エネリテラシー研修を義務化。
DOC-024,海外事業戦略会議 議事録,議事録,2026-01-30,海外事業部 田辺洋一,海外事業部,"['海外', 'Elawan', '新規国', 'M&A']",風力発電（海外/Elawan）,高,確定,Elawan事業拡大戦略の議論。現行4カ国（スペイン、チリ、ブラジル、ポルトガル）に加え、メキシコ・インドへの進出を検討。インドは政情リスクにより見送りを決定。メキシコ太陽光は市場環境良好で初期DD開始を承認。M&A案件2件のスクリーニング状況を報告（いずれもIBフェーズ）。
DOC-025,テクノロジー委員会 議事録,議事録,2026-01-20,技術統括部 安田慶一郎,技術統括部,"['技術', 'AI', 'ドローン', '予測保全']",全セグメント,中,確定,技術革新の導入状況報告。①AIベース発電量予測：メガソーラー予測精度が従来比+15%改善②ドローン点検：風力タービン点検コスト-30%達成③予測保全：バイオマスプラントの計画外停止-40%。次期導入計画：洋上風力向け水中ドローン、蓄電池劣化予測AI。DX投資予算FY2026：15億円（前年比+50%）。
DOC-026,国内太陽光市場動向分析 2026年版,分析レポート,2026-03-20,市場調査チーム 松本真理子,経営企画部,"['太陽光', '市場分析', 'FIT', 'PPA']",メガソーラー発電,中,確定,国内太陽光はFIT制度の終了に向け構造転換が進行。FIP移行後の収益性分析では、PPA型が最も安定的なリターンを確保（IRR 6.5-8%）。一方、出力制御リスクが九州・東北で顕在化し、蓄電池併設が事実上の必須要件に。2026年の新設見込みは4.2GW（前年比-8%）だが、リプレース需要が1.5GWに成長。
DOC-027,洋上風力コスト分析（国際比較）,分析レポート,2026-03-10,新規事業開発部 白石功,新規事業開発部,"['洋上風力', 'LCOE', '国際比較', 'コスト']",風力発電（国内）,高,確定,日本の洋上風力LCOE（均等化発電原価）は22-28円/kWhで、欧州（8-12円/kWh）の約2倍。主因は①基礎工事コスト（軟弱地盤対応）②系統接続コスト③ファイナンスコスト（実績不足によるリスクプレミアム）。2030年までにLCOE 15円/kWh以下を目指すには、ジャケット式基礎の標準化と国内サプライチェーン構築が不可欠。
DOC-028,蓄電池市場レポート 2026 Q1,分析レポート,2026-04-05,新規事業開発部 中村裕子,新規事業開発部,"['蓄電池', 'Li-ion', '需給調整市場', '価格動向']",蓄電所,高,確定,LFP電池セルの価格が$55/kWh（2024年$85/kWh対比-35%）に低下し、系統用蓄電所の事業性が大幅に改善。需給調整市場（一次〜三次①②）の約定価格は安定しており、年間収益15億円/100MWが見込める。国内の系統用蓄電所は2025年末で累計1.5GW（前年比+120%）。当社シェア5.3%（80MW）→2028年に10%（500MW）を目標。
DOC-029,バイオマス燃料調達リスク評価,分析レポート,2026-02-28,調達部 大西隆,バイオマス事業部,"['バイオマス', '燃料', 'PKS', '木質チップ', 'サプライチェーン']",バイオマス発電,中,確定,PKS（パームカーネルシェル）は国際市場で需給タイト化。インドネシア・マレーシア産の調達価格がFY2023対比+12%。対策として①ベトナム産PKSの新規ソース開拓（年間5万トン長期契約締結済）②国産木質チップの混焼比率引き上げ（20%→30%）③将来的なブラックペレット転換を検討。サプライチェーンの二重化によりリスク耐性を強化。
DOC-030,PPA市場の成長と当社ポジショニング,分析レポート,2026-02-15,電力営業部 森本健太,電力営業部,"['PPA', '法人', 'RE100', 'オフテイカー']",電力小売,高,確定,企業のRE100対応需要が急拡大し、PPA契約は年間+45%成長。当社は72社のRE100企業に電力供給中。競合優位性：①自社再エネ電源を保有（PPA原料の安定供給）②メガソーラー〜風力の電源ミックスにより24時間電力供給が可能③Elawan経由で海外I-RECの供給も可能。課題：PPA単価の下落傾向（年率-3%）への対応として、バンドルサービス（省エネ＋蓄電池＋PPA）の提案力強化が必要。
DOC-031,GX推進法による再エネ事業への影響分析,分析レポート,2026-01-25,政策渉外部 藤原健二,経営企画部,"['GX', '政策', '補助金', 'カーボンプライシング']",全セグメント,高,確定,"GX推進法の具体施策が2026年度から本格稼働。①GX経済移行債による補助金：洋上風力向け年間2,000億円、蓄電池向け年間1,500億円②カーボンプライシング導入（2028年〜、当初3,000円/tCO2）による再エネ電力の競争力向上③GXリーグ参加企業への再エネ調達義務化。当社への直接的な恩恵は年間50〜80億円と試算。"
DOC-032,為替リスク分析と対応方針（FY2026）,分析レポート,2026-03-30,財務部 鈴木陽子,財務部,"['為替', 'EUR', 'USD', 'ヘッジ', 'Elawan']",風力発電（海外/Elawan）,高,確定,Elawan事業のEUR建て収益比率が45%に達し、為替感応度が拡大。EUR/JPY 1円変動で年間約8億円のP/L影響。FY2026ヘッジ方針：①期初に通期の70%をフォワードヘッジ②残30%はスポット＋オプション③CLP（チリペソ）はヘッジコスト高のためナチュラルヘッジを優先。Elawanの現地通貨建て費用拡大により為替影響の軽減を図る。
DOC-033,競合ベンチマーク分析 2026年版,分析レポート,2026-01-15,経営企画部 堀内雅人,経営企画部,"['競合', 'レノバ', 'JRE', 'SBエナジー', 'ベンチマーク']",全セグメント,中,確定,"主要競合5社（レノバ、JRE、SBエナジー、コスモエコパワー、ジャパンウィンドパワー）との比較分析。当社の強み：①設備容量No.1（3,900MW vs 競合最大2,200MW）②海外展開（Elawan）③電源多様性④蓄電池事業の先行着手。弱み：①国内洋上風力の実績不足②デジタル化の遅れ③PPA営業力。対策として洋上風力のElawan連携とDX投資加速を推奨。"
DOC-034,地熱発電ポテンシャル評価（国内新規候補地）,分析レポート,2026-02-05,技術統括部 永田直人,技術統括部,"['地熱', '候補地', '環境アセス', '温泉']",地熱発電,中,確定,"国内地熱ポテンシャルは2,300万kW（世界3位）だが開発率は僅か2%。既存大分九重サイト周辺での増設可能性調査結果：+5MW程度の追加掘削が有望。新規候補3地点（岩手八幡平、秋田湯沢、鹿児島指宿）の予備調査結果を報告。温泉事業者との合意形成が最大のハードル。経産省の地熱開発加速パッケージ（掘削リスク保険の拡充）を活用。"
DOC-035,カーボンクレジット市場動向と当社戦略,分析レポート,2026-01-10,サステナビリティ推進部 河野美保,サステナビリティ推進部,"['カーボンクレジット', 'J-クレジット', 'ボランタリー', '新収益源']",全セグメント,中,確定,国内J-クレジット市場が急拡大（2025年取引量：前年比+180%）。当社のCO2削減量420万tのうち、約50万tがクレジット化可能。試算年間収益：J-クレジット4億円＋海外ボランタリークレジット2億円＝年間6億円。2028年のカーボンプライシング本格導入に向け、クレジット創出体制の構築と認証取得を先行推進。
DOC-036,ESG統合報告書 2025（ドラフト）,ESG報告,2026-04-05,サステナビリティ推進部 河野美保,サステナビリティ推進部,"['ESG', '統合報告', 'TCFD', 'TNFD']",全セグメント,高,ドラフト,"FY2024のESG実績を統合報告書形式でまとめたドラフト。E（環境）：CO2削減420万t、再エネ設備3,900MW。S（社会）：従業員452名、女性管理職18%、労災ゼロ。G（ガバナンス）：社外取締役比率50%、テーマ別委員会4設置。TCFD/TNFD対応の気候変動・自然資本に関するシナリオ分析を掲載。"
DOC-037,RE100対応実績レポート FY2024,ESG報告,2026-03-25,電力営業部 森本健太,電力営業部,"['RE100', '法人顧客', 'グリーン電力']",電力小売,中,確定,FY2024にRE100宣言企業72社（前年58社）に再エネ電力を供給。供給量：年間480GWh（前年比+32%）。トラッキング付非化石証書の調達・管理体制が評価され、2社の大型契約を新規獲得。今後はアジア展開するRE100企業向けにElawan経由の国際I-RECを提案し、差別化を図る。
DOC-038,生物多様性影響評価ガイドライン,ESG報告,2026-02-20,環境管理部 水上由紀,環境管理部,"['生物多様性', 'TNFD', '環境影響', '洋上風力']",風力発電（国内）,中,確定,TNFD（自然関連財務開示タスクフォース）対応として策定。洋上風力における鳥類・海洋生物への影響低減策：①バードストライク低減塗装②施工時の水中騒音規制準拠③建設前後の生態系モニタリング。メガソーラーにおける農地転用ガイドライン：営農型太陽光の推進。全サイト対象のネイチャーポジティブ目標を2028年までに設定。
DOC-039,サプライチェーン人権DD報告,ESG報告,2026-01-20,コンプライアンス部 石川真一,コンプライアンス部,"['人権DD', 'サプライチェーン', '太陽光パネル']",メガソーラー発電,中,確定,太陽光パネル調達における人権デューデリジェンス結果。主要サプライヤー8社の現地監査完了。リスク評価：2社がウイグル地域のポリシリコンを使用する可能性あり→代替サプライヤーへの切替を完了（2025年12月）。今後は全主要資材（風力タービン、蓄電池セル、バイオマス燃料）に対象を拡大。
DOC-040,安全衛生年次報告 FY2024,ESG報告,2026-04-02,安全管理部 井上誠,安全管理部,"['安全', '労災', 'ヒヤリハット']",全セグメント,中,確定,FY2024通期の安全実績。休業災害：0件（3年連続ゼロ達成）。不休災害：2件（メガソーラー現場での軽微な切創、バイオマスプラントでの軽度やけど）。ヒヤリハット報告：128件（前年98件、報告率向上として評価）。安全投資：年間3億円。FY2025重点：洋上風力工事の安全基準策定。
DOC-041,次世代太陽電池（ペロブスカイト）技術評価,技術評価,2026-03-01,技術統括部 安田慶一郎,技術統括部,"['ペロブスカイト', '次世代太陽電池', '技術動向']",メガソーラー発電,中,確定,ペロブスカイト太陽電池の商用化状況を技術評価。現行の変換効率はラボで33%（タンデム型）、量産品で22-25%。コストは従来Si型の60%程度まで低下見込み（2028年）。課題：耐久性（現行5-10年 vs Si型25年）と大面積化。当社への適用検討：屋根借り太陽光のリプレース需要に最適。パイロット導入を2027年度に計画。
DOC-042,浮体式洋上風力の技術動向調査,技術評価,2026-02-10,技術統括部 白石功,技術統括部,"['浮体式', '洋上風力', '深海', 'コスト']",風力発電（国内）,高,確定,日本周辺の水深50m超エリアでの浮体式洋上風力は将来的に巨大市場（ポテンシャル50GW超）。現行LCOE 30-40円/kWhと着床式の2倍だが、2035年にかけて技術成熟とスケールメリットで20円/kWh以下を目指す。コンクリート浮体、スパー型、セミサブ型の比較評価。当社はElawanの欧州浮体式プロジェクト参画を通じノウハウ蓄積を優先。
DOC-043,グリーン水素製造の事業性評価,技術評価,2026-01-15,新規事業開発部 中村裕子,新規事業開発部,"['水素', 'グリーン水素', '電解', 'P2G']",全セグメント,中,検討中,再エネ余剰電力を活用したグリーン水素製造（P2G: Power to Gas）の事業性評価。現行コスト：水素製造原価 800円/Nm3（目標：2030年に300円/Nm3）。電解装置（PEM型）のコスト低下が鍵。当社の再エネ電源（出力制御される太陽光・風力）との組み合わせシナリオを3パターン試算。短期的な事業性は低いが、戦略的投資として小規模パイロットを検討。
DOC-044,AIを活用した発電量予測システム評価報告,技術評価,2026-03-15,DX推進部 藤井達也,DX推進部,"['AI', '発電量予測', '機械学習', 'DX']",メガソーラー発電,中,確定,メガソーラー向けAI発電量予測システムの1年間の運用評価結果。24時間先予測精度：RMSE 8.2%（導入前12.5%、改善率+34%）。これによりインバランス費用が年間1.2億円削減。使用モデル：LightGBM + LSTM のアンサンブル。気象データ（日射量・気温・雲量）をリアルタイム取得。次フェーズ：風力発電への適用拡大と、蓄電池の充放電最適化AIの開発。
DOC-045,ドローン自動点検システム導入効果報告,技術評価,2026-04-08,O&M部 加藤良平,O&M部,"['ドローン', '点検', 'O&M', 'コスト削減']",メガソーラー発電,中,確定,"メガソーラー全サイト（520MW）でのドローン自動点検の導入効果。点検時間：従来3日→0.5日（-83%）。異常検出率：赤外線カメラにより従来比+45%（ホットスポット、PID、草木影の検出）。年間O&Mコスト削減：4,200万円。さらにAI画像解析による自動分類の精度が92%に到達し、人的判定を大幅に省力化。次年度は風力タービン点検に展開。"
DOC-046,大規模投資決裁基準（500億円超）,規程,2025-12-01,経営企画部 堀内雅人,経営企画部,"['決裁', '投資基準', 'ガバナンス']",全セグメント,高,施行中,500億円を超える投資案件に適用される決裁プロセス。必要資料：事業計画書、DCF分析（WACC 6%基準）、リスクマトリクス、環境影響評価。決裁フロー：本部長→CFO→CEO→取締役会。IRR 7%以上を必須条件とし、カントリーリスクのある案件は+2%の上乗せ。洋上風力2案件（秋田・北九州）が本基準の初の適用ケースとなる見込み。
DOC-047,再エネ発電所O&M運用マニュアル v3.0,規程,2025-10-15,O&M部 加藤良平,O&M部,"['O&M', '運用', 'マニュアル', '安全']",全セグメント,中,施行中,全再エネ発電所に適用されるO&M運用マニュアルの改訂版。主な変更点：①ドローン点検手順の追加②AIベース予測保全ワークフローの組込み③洋上風力対応の安全基準追加④蓄電池の熱暴走緊急対応手順。ISO45001認証に準拠。全サイト運転員への教育プログラム（年間40時間）を義務化。
DOC-048,海外拠点コンプライアンスガイドライン,規程,2025-11-20,コンプライアンス部 石川真一,コンプライアンス部,"['コンプライアンス', '海外', '贈賄防止', 'GDPR']",風力発電（海外/Elawan）,高,施行中,Elawan拠点（スペイン・チリ・ブラジル・ポルトガル）向けコンプライアンスガイドライン。対象法令：各国の贈賄防止法、EU GDPR、チリ環境規制法、ブラジル反腐敗法。内部通報窓口の多言語対応（日英西葡）。年次コンプライアンス研修（オンライン）を全海外拠点従業員に義務化。
DOC-049,情報セキュリティポリシー（SCADA系対応）,規程,2026-01-05,情報システム部 佐々木大輔,情報システム部,"['セキュリティ', 'SCADA', 'サイバー', 'OT']",全セグメント,高,施行中,発電所制御系（SCADA/OT）システム向け情報セキュリティポリシー。IEC 62443準拠。ネットワークセグメンテーション（IT/OT分離）、定期脆弱性スキャン（四半期）、インシデント対応手順（24時間以内の第一報義務）。2025年のサイバー攻撃事例増加（業界全体で前年比+60%）を踏まえ、SOC（Security Operation Center）の24時間監視体制を構築。
DOC-050,データガバナンスポリシー v2.0,規程,2026-02-01,DX推進部 藤井達也,DX推進部,"['データガバナンス', 'DX', 'データ品質', 'マスタ管理']",全セグメント,中,施行中,全社データ利活用の基盤となるガバナンスポリシー改訂版。データオーナー制度の導入（各セグメント責任者がデータ品質に責任を持つ）、マスタデータ管理（MDM）の整備、AIモデル学習に用いるデータの品質基準を規定。DWH（データウェアハウス）への統合スケジュール：FY2026中に全セグメントの発電データ・財務データを統合。
