プロジェクトID,プロジェクト名,セグメント,総投資額_億円,ステータス,フェーズ,計画日,実績日,状態,リスク,備考
PRJ-001,秋田県沖洋上風力（200MW）,風力発電（国内）,2000,開発中,環境アセス方法書,2025-06-01,2025-05-28,完了,環境アセスの遅延リスク、系統接続の容量確保,Elawan技術チーム参画、ジャケット式基礎採用
PRJ-001,秋田県沖洋上風力（200MW）,風力発電（国内）,2000,開発中,地元合意形成,2026-03-31,2026-03-15,完了,環境アセスの遅延リスク、系統接続の容量確保,Elawan技術チーム参画、ジャケット式基礎採用
PRJ-001,秋田県沖洋上風力（200MW）,風力発電（国内）,2000,開発中,環境アセス準備書,2026-09-30,,進行中,環境アセスの遅延リスク、系統接続の容量確保,Elawan技術チーム参画、ジャケット式基礎採用
PRJ-001,秋田県沖洋上風力（200MW）,風力発電（国内）,2000,開発中,系統接続契約,2026-12-31,,未着手,環境アセスの遅延リスク、系統接続の容量確保,Elawan技術チーム参画、ジャケット式基礎採用
PRJ-001,秋田県沖洋上風力（200MW）,風力発電（国内）,2000,開発中,FID（最終投資決定）,2027-03-31,,未着手,環境アセスの遅延リスク、系統接続の容量確保,Elawan技術チーム参画、ジャケット式基礎採用
PRJ-001,秋田県沖洋上風力（200MW）,風力発電（国内）,2000,開発中,建設着工,2027-10-01,,未着手,環境アセスの遅延リスク、系統接続の容量確保,Elawan技術チーム参画、ジャケット式基礎採用
PRJ-001,秋田県沖洋上風力（200MW）,風力発電（国内）,2000,開発中,商業運転開始,2029-10-01,,未着手,環境アセスの遅延リスク、系統接続の容量確保,Elawan技術チーム参画、ジャケット式基礎採用
PRJ-002,北九州響灘洋上風力（220MW）,風力発電（国内）,2200,開発中,入札応募,2025-09-30,2025-09-15,完了,入札結果待ち、地元漁業者との調整,セミサブ浮体式も視野に検討
PRJ-002,北九州響灘洋上風力（220MW）,風力発電（国内）,2200,開発中,系統接続仮押さえ,2026-03-31,2026-02-28,完了,入札結果待ち、地元漁業者との調整,セミサブ浮体式も視野に検討
PRJ-002,北九州響灘洋上風力（220MW）,風力発電（国内）,2200,開発中,環境アセス方法書,2026-09-30,,進行中,入札結果待ち、地元漁業者との調整,セミサブ浮体式も視野に検討
PRJ-002,北九州響灘洋上風力（220MW）,風力発電（国内）,2200,開発中,FID,2027-06-30,,未着手,入札結果待ち、地元漁業者との調整,セミサブ浮体式も視野に検討
PRJ-002,北九州響灘洋上風力（220MW）,風力発電（国内）,2200,開発中,建設着工,2028-04-01,,未着手,入札結果待ち、地元漁業者との調整,セミサブ浮体式も視野に検討
PRJ-002,北九州響灘洋上風力（220MW）,風力発電（国内）,2200,開発中,商業運転開始,2030-04-01,,未着手,入札結果待ち、地元漁業者との調整,セミサブ浮体式も視野に検討
PRJ-003,東京湾岸蓄電所（40MW/160MWh）,蓄電所,120,建設中,用地取得,2025-06-30,2025-06-15,完了,蓄電池セルの納期遅延（半導体不足の余波）,LFP電池採用、需給調整市場+アービトラージ
PRJ-003,東京湾岸蓄電所（40MW/160MWh）,蓄電所,120,建設中,設計完了,2025-12-31,2025-12-20,完了,蓄電池セルの納期遅延（半導体不足の余波）,LFP電池採用、需給調整市場+アービトラージ
PRJ-003,東京湾岸蓄電所（40MW/160MWh）,蓄電所,120,建設中,建設着工,2026-02-01,2026-01-25,完了,蓄電池セルの納期遅延（半導体不足の余波）,LFP電池採用、需給調整市場+アービトラージ
PRJ-003,東京湾岸蓄電所（40MW/160MWh）,蓄電所,120,建設中,機器搬入,2026-06-30,,進行中,蓄電池セルの納期遅延（半導体不足の余波）,LFP電池採用、需給調整市場+アービトラージ
PRJ-003,東京湾岸蓄電所（40MW/160MWh）,蓄電所,120,建設中,試運転,2026-09-30,,未着手,蓄電池セルの納期遅延（半導体不足の余波）,LFP電池採用、需給調整市場+アービトラージ
PRJ-003,東京湾岸蓄電所（40MW/160MWh）,蓄電所,120,建設中,商業運転開始,2026-12-01,,未着手,蓄電池セルの納期遅延（半導体不足の余波）,LFP電池採用、需給調整市場+アービトラージ
PRJ-004,北海道石狩蓄電所（50MW/200MWh）,蓄電所,150,設計中,用地確保,2025-12-31,2025-11-30,完了,寒冷地対応の追加コスト、系統接続枠の確保,風力出力制御回避が主目的
PRJ-004,北海道石狩蓄電所（50MW/200MWh）,蓄電所,150,設計中,基本設計,2026-06-30,,進行中,寒冷地対応の追加コスト、系統接続枠の確保,風力出力制御回避が主目的
PRJ-004,北海道石狩蓄電所（50MW/200MWh）,蓄電所,150,設計中,詳細設計,2026-09-30,,未着手,寒冷地対応の追加コスト、系統接続枠の確保,風力出力制御回避が主目的
PRJ-004,北海道石狩蓄電所（50MW/200MWh）,蓄電所,150,設計中,建設着工,2026-12-01,,未着手,寒冷地対応の追加コスト、系統接続枠の確保,風力出力制御回避が主目的
PRJ-004,北海道石狩蓄電所（50MW/200MWh）,蓄電所,150,設計中,商業運転開始,2027-09-01,,未着手,寒冷地対応の追加コスト、系統接続枠の確保,風力出力制御回避が主目的
PRJ-005,Elawan チリ風力 Phase3（150MW）,風力発電（海外/Elawan）,800,FID承認済,DD完了,2025-09-30,2025-09-20,完了,チリペソの為替変動、建設コストインフレ,既存Phase1(100MW)+Phase2(120MW)に隣接
PRJ-005,Elawan チリ風力 Phase3（150MW）,風力発電（海外/Elawan）,800,FID承認済,FID承認,2026-01-31,2026-01-15,完了,チリペソの為替変動、建設コストインフレ,既存Phase1(100MW)+Phase2(120MW)に隣接
PRJ-005,Elawan チリ風力 Phase3（150MW）,風力発電（海外/Elawan）,800,FID承認済,建設契約締結,2026-04-30,,進行中,チリペソの為替変動、建設コストインフレ,既存Phase1(100MW)+Phase2(120MW)に隣接
PRJ-005,Elawan チリ風力 Phase3（150MW）,風力発電（海外/Elawan）,800,FID承認済,建設着工,2026-07-01,,未着手,チリペソの為替変動、建設コストインフレ,既存Phase1(100MW)+Phase2(120MW)に隣接
PRJ-005,Elawan チリ風力 Phase3（150MW）,風力発電（海外/Elawan）,800,FID承認済,商業運転開始,2028-03-01,,未着手,チリペソの為替変動、建設コストインフレ,既存Phase1(100MW)+Phase2(120MW)に隣接
PRJ-006,Elawan ブラジル風力（200MW）,風力発電（海外/Elawan）,1000,開発中,風況調査完了,2025-06-30,2025-07-15,完了,土地使用権の法的リスク、送電網整備の遅れ,ブラジル北東部のセアラ州、年間平均風速8.5m/s
PRJ-006,Elawan ブラジル風力（200MW）,風力発電（海外/Elawan）,1000,開発中,FID承認,2025-12-31,2025-12-10,完了,土地使用権の法的リスク、送電網整備の遅れ,ブラジル北東部のセアラ州、年間平均風速8.5m/s
PRJ-006,Elawan ブラジル風力（200MW）,風力発電（海外/Elawan）,1000,開発中,土地使用権取得,2026-06-30,,進行中,土地使用権の法的リスク、送電網整備の遅れ,ブラジル北東部のセアラ州、年間平均風速8.5m/s
PRJ-006,Elawan ブラジル風力（200MW）,風力発電（海外/Elawan）,1000,開発中,建設着工,2027-01-01,,未着手,土地使用権の法的リスク、送電網整備の遅れ,ブラジル北東部のセアラ州、年間平均風速8.5m/s
PRJ-006,Elawan ブラジル風力（200MW）,風力発電（海外/Elawan）,1000,開発中,商業運転開始,2028-12-01,,未着手,土地使用権の法的リスク、送電網整備の遅れ,ブラジル北東部のセアラ州、年間平均風速8.5m/s
PRJ-007,岩手八幡平地熱第2号機（7MW）,地熱発電,80,調査中,予備調査,2025-12-31,2025-12-01,完了,地熱資源量の不確実性、温泉事業者との合意,経産省掘削リスク保険を活用予定
PRJ-007,岩手八幡平地熱第2号機（7MW）,地熱発電,80,調査中,探査井掘削,2026-12-31,,進行中,地熱資源量の不確実性、温泉事業者との合意,経産省掘削リスク保険を活用予定
PRJ-007,岩手八幡平地熱第2号機（7MW）,地熱発電,80,調査中,資源量評価,2027-06-30,,未着手,地熱資源量の不確実性、温泉事業者との合意,経産省掘削リスク保険を活用予定
PRJ-007,岩手八幡平地熱第2号機（7MW）,地熱発電,80,調査中,環境アセス,2028-03-31,,未着手,地熱資源量の不確実性、温泉事業者との合意,経産省掘削リスク保険を活用予定
PRJ-007,岩手八幡平地熱第2号機（7MW）,地熱発電,80,調査中,建設着工,2029-04-01,,未着手,地熱資源量の不確実性、温泉事業者との合意,経産省掘削リスク保険を活用予定
PRJ-007,岩手八幡平地熱第2号機（7MW）,地熱発電,80,調査中,商業運転開始,2031-04-01,,未着手,地熱資源量の不確実性、温泉事業者との合意,経産省掘削リスク保険を活用予定
PRJ-008,AI発電量予測システム Phase2（風力展開）,全セグメント,5,開発中,要件定義,2026-01-31,2026-01-20,完了,風力特有の乱流モデリング精度,メガソーラーPhase1ではRMSE 34%改善を達成
PRJ-008,AI発電量予測システム Phase2（風力展開）,全セグメント,5,開発中,モデル開発,2026-06-30,,進行中,風力特有の乱流モデリング精度,メガソーラーPhase1ではRMSE 34%改善を達成
PRJ-008,AI発電量予測システム Phase2（風力展開）,全セグメント,5,開発中,パイロット運用,2026-09-30,,未着手,風力特有の乱流モデリング精度,メガソーラーPhase1ではRMSE 34%改善を達成
PRJ-008,AI発電量予測システム Phase2（風力展開）,全セグメント,5,開発中,全サイト展開,2027-03-31,,未着手,風力特有の乱流モデリング精度,メガソーラーPhase1ではRMSE 34%改善を達成
